Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Japan,Price / Japan,Compare At Price / Japan,Included / International,Price / International,Compare At Price / International,Status
ジャクソン飛び過ぎダニエル-14g-copy,ジャクソン飛び過ぎダニエル 14g (Copy),"<p><meta charset=""UTF-8""><span>「飛び過ぎダニエル」は、従来のメタルジグを超える飛距離を実現したルアーです。高強度ステンレスプレートの後方に高比重タングステンでボディを形成し、重心をさらに後方化。「超々」後方重心が生み出す飛距離は、同ウェイトのメタルジグを遥かに凌駕します。また、尾翼の役割も果たすこのステンレスプレートにより、飛行姿勢は抜群の安定感を誇ります。さらに、度重なるテストの結果、メタルジグやスプーンではこれまで決して出せなかった、プラグ系のワイドウォブリングアクションを発生させることに成功しました。「飛び過ぎダニエル」で、これまでにない飛距離とアクションを体験してください。</span></p>",Shak Tackle,Uncategorized,Lure,"category1, category4",false,Colour,LCD,,size,GG2,,,,,,0.0,shopify,deny,manual,1050,,false,false,'4511729655717,https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-06_at_6.34.22_pm.png?v=1738830889,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-06_at_6.40.23_pm.png?v=1738831237,kg,,787,true,,,false,,,draft
ジャクソン飛び過ぎダニエル-14g-copy,,,,,,,,,LCD,,,GGR,,,,,,0.0,shopify,deny,manual,1050,,false,false,"",https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-06_at_6.36.18_pm.png?v=1738830997,2,"",,,,,,,,,,,,,,,,kg,,787,,,,,,,
ジャクソン飛び過ぎダニエル-14g-copy,,,,,,,,,LCD,,,GRC,,,,,,0.0,shopify,deny,manual,1050,,false,false,"",https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-06_at_6.37.22_pm.png?v=1738831054,3,"",,,,,,,,,,,,,,,,kg,,787,,,,,,,
ジャクソン飛び過ぎダニエル-14g-copy,,,,,,,,,LCD,,,KPI,,,,,,0.0,shopify,deny,manual,1050,,false,false,"",https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-06_at_6.38.09_pm.png?v=1738831101,4,"",,,,,,,,,,,,,,,,kg,,787,,,,,,,
ジャクソン飛び過ぎダニエル-14g-copy,,,,,,,,,LIW,,,GG2,,,,,,0.0,shopify,deny,manual,1050,,false,false,'4511729655700,https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-06_at_6.38.53_pm.png?v=1738831145,5,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-06_at_6.41.13_pm.png?v=1738831284,kg,,787,,,,,,,
ジャクソン飛び過ぎダニエル-14g-copy,,,,,,,,,LIW,,,GGR,,,,,,0.0,shopify,deny,manual,1050,,false,false,"",https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-06_at_6.40.23_pm.png?v=1738831237,6,"",,,,,,,,,,,,,,,,kg,,787,,,,,,,
ジャクソン飛び過ぎダニエル-14g-copy,,,,,,,,,LIW,,,GRC,,,,,,0.0,shopify,deny,manual,1050,,false,false,"",https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-06_at_6.41.13_pm.png?v=1738831284,7,"",,,,,,,,,,,,,,,,kg,,787,,,,,,,
ジャクソン飛び過ぎダニエル-14g-copy,,,,,,,,,LIW,,,KPI,,,,,,0.0,shopify,deny,manual,1050,,false,false,"",https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-06_at_6.42.01_pm.png?v=1738831338,8,"",,,,,,,,,,,,,,,,kg,,787,,,,,,,
ジャクソン飛び過ぎダニエル-14g-copy,,,,,,,,,MBP,,,GG2,,,,,,0.0,shopify,deny,manual,1050,,false,false,'4511729676545,https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-06_at_6.43.13_pm.png?v=1738831406,9,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-06_at_6.42.01_pm.png?v=1738831338,kg,,787,,,,,,,
ジャクソン飛び過ぎダニエル-14g-copy,,,,,,,,,MBP,,,GGR,,,,,,0.0,shopify,deny,manual,1050,,false,false,"",https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-06_at_6.44.01_pm.png?v=1738831451,10,"",,,,,,,,,,,,,,,,kg,,787,,,,,,,
