Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Japan,Price / Japan,Compare At Price / Japan,Included / International,Price / International,Compare At Price / International,Status
ジャクソンボーンベイトサーフ-4-5,ジャクソンボーンベイトサーフ 4.5,"<p>ジャクソンの「ボーンベイト サーフ 4.5インチ」は、偏平ボディとハーフリブデザインにより、バイト時にワームが一方向に折れ曲がり、フックが出やすくなることで、フッキング性能を向上させています。 ボディに刻まれた細かなリブが微波動を発生させ、ボトム着底時にも自動的にアピールし、バイトを誘発します。 また、ボディとテールのバランス設計により、ヘビーシンカー使用時のフォールや高速リトリーブ時にもワームが回転せず、安定した動きを実現しています。 <span><span data-state=""closed"" class=""""></span></span></p>
<p> </p>
<p><strong>製品仕様:</strong></p>
<ul>
<li>
<strong>サイズ:</strong> 4.5インチ</li>
<li>
<strong>タイプ:</strong> シャッドテールワーム</li>
<li>
<strong>カラー:</strong> SFP ピンクゴールド</li>
</ul>",Shak Tackle,Uncategorized,Lure,"category3, category6",true,Colour,SFB,,,,,,,,"",0.0,shopify,deny,manual,650,,false,false,'4511729680849,https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-06_at_9.50.45_pm.png?v=1738842655,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-06_at_9.50.45_pm.png?v=1738842655,kg,,487,true,,,false,,,active
ジャクソンボーンベイトサーフ-4-5,,,,,,,,,SFC,,,,,,,,"",0.0,shopify,deny,manual,650,,false,false,'4511729680856,https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-06_at_9.51.26_pm.png?v=1738842697,2,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-06_at_9.51.26_pm.png?v=1738842697,kg,,487,,,,,,,
ジャクソンボーンベイトサーフ-4-5,,,,,,,,,SFL,,,,,,,,"",0.0,shopify,deny,manual,650,,false,false,'4511729680863,https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-06_at_9.52.24_pm.png?v=1738842754,3,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-06_at_9.52.24_pm.png?v=1738842754,kg,,487,,,,,,,
ジャクソンボーンベイトサーフ-4-5,,,,,,,,,SFP,,,,,,,,"",0.0,shopify,deny,manual,650,,false,false,'4511729680870,https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-06_at_9.53.09_pm.png?v=1738842799,4,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-06_at_9.53.09_pm.png?v=1738842799,kg,,487,,,,,,,
fu-フルメタルソニック-10g-cg,FU ◇フルメタルソニック 10g CG,"<p>「フルメタルソニック 10g CG」は、フルメタルボディを採用したバイブレーションルアーで、コンパクトながら優れた飛距離と振動を実現しています。 その設計により、広範囲のターゲットにアプローチでき、特にバスやトラウトなどのフィッシュイーターに効果的です。 「CG」は「チャートゴールド」を意味し、視認性の高いカラーリングが特徴です。</p>
<p> </p>
<p><strong>製品仕様:</strong></p>
<ul>
<li>
<strong>サイズ:</strong> 約40mm</li>
<li>
<strong>重量:</strong> 10g</li>
<li>
<strong>タイプ:</strong> シンキングバイブレーション</li>
<li>
<strong>カラー:</strong> チャートゴールド（CG）</li>
</ul>",Shak Tackle,Uncategorized,Lure,"category3, category7",true,Colour,016 チャートバックギル,,,,,,,,"",0.0,shopify,deny,manual,920,,false,false,'4580500380520,https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-07_at_10.10.03_am.png?v=1738887015,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-07_at_10.10.03_am.png?v=1738887015,kg,,690,true,,,false,,,active
fu-フルメタルソニック-10g-cg,,,,,,,,,017 フラッシングワカサギ,,,,,,,,"",0.0,shopify,deny,manual,920,,false,false,'4580500380537,https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-07_at_10.10.40_am.png?v=1738887050,2,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-07_at_10.10.40_am.png?v=1738887050,kg,,690,,,,,,,
fu-ユニオンクロー-3-2-エコ,FU ユニオンクロー 3.2 エコ,"<p>エコギアの「ユニオンクロー 3.2 エコ」は、甲殻類を模したリアルなデザインと動きを持つソフトルアーです。 全長3.2インチ（約8.1cm）で、バスやソルトウォーターのターゲットに効果的です。 エコ対応素材を使用しており、環境への配慮もされています。 また、独自のフレーバーやソルトが配合されており、魚の食い付きが向上します。</p>
<p> </p>
<p><strong>製品仕様:</strong></p>
<ul>
<li>
<strong>サイズ:</strong> 3.2インチ（約8.1cm）</li>
<li>
<strong>タイプ:</strong> ソフトルアー（クロー系）</li>
<li>
<strong>素材:</strong> エコ対応素材</li>
<li>
<strong>フレーバー:</strong> 独自のフレーバーとソルト配合</li>
<li>
<strong>カラー:</strong> 複数のカラーバリエーションあり</li>
</ul>",Shak Tackle,Uncategorized,Lure,"category3, category7",true,Colour,011 GP ペッパーグリーンFK/CH,,,,,,,,"",0.0,shopify,deny,manual,860,,false,false,'4513498091925,https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-07_at_10.11.32_am.png?v=1738887102,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-07_at_10.11.32_am.png?v=1738887102,kg,,645,true,,,false,,,active
fu-ユニオンクロー-3-2-エコ,,,,,,,,,020 チビザリ,,,,,,,,"",0.0,shopify,deny,manual,860,,false,false,'4513498091956,https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-07_at_10.13.15_am.png?v=1738887205,2,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-07_at_10.13.15_am.png?v=1738887205,kg,,645,,,,,,,
fu-フルメタルソニック-7g,FU フルメタルソニック 7g,"<p>フラッシュユニオンの「フルメタルソニック 7g」は、特殊な鋼材を使用した極薄ボディにより、水の抵抗を最小限に抑え、素早い立ち上がりと高ピッチの振動を実現したバイブレーションルアーです。 細身のミノーシェイプデザインにより、リフト後のストレートフォールでベイトが一気に逃げる様子を演出し、低活性時のバスにも効果的です。 また、スローリトリーブでも明確な振動を感じ取れるため、低水温期やストラクチャー周りでの釣りにも適しています。 フックには、根掛かりを軽減しつつ確実なフッキングを可能にする、ノガレス製のショートシャンク・ワイドゲイプのダブルフックが採用されています。 <span><span data-state=""closed"" class=""""></span></span></p>
<p> </p>
<p><strong>製品仕様:</strong></p>
<ul>
<li>
<strong>サイズ:</strong> 約40mm</li>
<li>
<strong>重量:</strong> 7g</li>
<li>
<strong>タイプ:</strong> シンキングバイブレーション</li>
<li>
<strong>フック:</strong> ノガレス製ダブルフック</li>
</ul>",Shak Tackle,Uncategorized,Lure,"category1, category3",true,Colour,001 チャートバックシャイナー,,,,,,,,"",0.0,shopify,deny,manual,860,,false,false,'4580500383958,https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-07_at_10.14.44_am.png?v=1738887295,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-07_at_10.14.44_am.png?v=1738887295,kg,,645,true,,,false,,,active
fu-フルメタルソニック-7g,,,,,,,,,002 キンクロ,,,,,,,,"",0.0,shopify,deny,manual,860,,false,false,'4580500383965,https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-07_at_10.15.19_am.png?v=1738887329,2,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-07_at_10.15.19_am.png?v=1738887329,kg,,645,,,,,,,
