Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Japan,Price / Japan,Compare At Price / Japan,Included / International,Price / International,Compare At Price / International,Status
Jackson flying too far Daniel - 14g-copy,Jackson flying too far Daniel 14g (Copy),"<p><meta charset=""UTF-8""><span>The ""Daniel Flying Over Flying"" is a lure that achieves distances that exceed traditional metal jigs.The body is formed from high-specific gravity tungsten at the back of the high-strength stainless steel plate, further rearwards the center of gravity.The ""super"" rear center of gravity produces far surpasses the metal jigs of the same weight.This stainless steel plate also serves as a tail fin, making it extremely stable in flight position.Furthermore, repeated testing has led to the creation of plug-based wide wobbling actions that were never possible with metal jigs or spoons.Experience unprecedented distance and action with ""Daniel Flying Overdue.""</span></p>",Shak Tackle,Uncategorized,Lure,"category1, category4",False,Colour,LCD,,size,GG2,,,,,,0.0,shopify,deny,manual,1050.0,,False,False,'4511729655717,https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-06_at_6.34.22_pm.png?v=1738830889,1.0,,False,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-06_at_6.40.23_pm.png?v=1738831237,kg,,787.0,True,,,False,,,draft
Jackson flying too far Daniel - 14g-copy,,,,,,,,,LCD,,,GGR,,,,,,0.0,shopify,deny,manual,1050.0,,False,False,,https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-06_at_6.36.18_pm.png?v=1738830997,2.0,,,,,,,,,,,,,,,,,kg,,787.0,,,,,,,
Jackson flying too far Daniel - 14g-copy,,,,,,,,,LCD,,,GRC,,,,,,0.0,shopify,deny,manual,1050.0,,False,False,,https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-06_at_6.37.22_pm.png?v=1738831054,3.0,,,,,,,,,,,,,,,,,kg,,787.0,,,,,,,
Jackson flying too far Daniel - 14g-copy,,,,,,,,,LCD,,,KPI,,,,,,0.0,shopify,deny,manual,1050.0,,False,False,,https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-06_at_6.38.09_pm.png?v=1738831101,4.0,,,,,,,,,,,,,,,,,kg,,787.0,,,,,,,
Jackson flying too far Daniel - 14g-copy,,,,,,,,,Color,,,GG2,,,,,,0.0,shopify,deny,manual,1050.0,,False,False,'4511729655700,https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-06_at_6.38.53_pm.png?v=1738831145,5.0,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-06_at_6.41.13_pm.png?v=1738831284,kg,,787.0,,,,,,,
Jackson flying too far Daniel - 14g-copy,,,,,,,,,Color,,,GGR,,,,,,0.0,shopify,deny,manual,1050.0,,False,False,,https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-06_at_6.40.23_pm.png?v=1738831237,6.0,,,,,,,,,,,,,,,,,kg,,787.0,,,,,,,
Jackson flying too far Daniel - 14g-copy,,,,,,,,,Color,,,GRC,,,,,,0.0,shopify,deny,manual,1050.0,,False,False,,https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-06_at_6.41.13_pm.png?v=1738831284,7.0,,,,,,,,,,,,,,,,,kg,,787.0,,,,,,,
Jackson flying too far Daniel - 14g-copy,,,,,,,,,Color,,,KPI,,,,,,0.0,shopify,deny,manual,1050.0,,False,False,,https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-06_at_6.42.01_pm.png?v=1738831338,8.0,,,,,,,,,,,,,,,,,kg,,787.0,,,,,,,
Jackson flying too far Daniel - 14g-copy,,,,,,,,,MBP,,,GG2,,,,,,0.0,shopify,deny,manual,1050.0,,False,False,'4511729676545,https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-06_at_6.43.13_pm.png?v=1738831406,9.0,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-06_at_6.42.01_pm.png?v=1738831338,kg,,787.0,,,,,,,
Jackson flying too far Daniel - 14g-copy,,,,,,,,,MBP,,,GGR,,,,,,0.0,shopify,deny,manual,1050.0,,False,False,,https://cdn.shopify.com/s/files/1/0683/3550/1509/files/Screenshot_2025-02-06_at_6.44.01_pm.png?v=1738831451,10.0,,,,,,,,,,,,,,,,,kg,,787.0,,,,,,,
